Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,8277.0,0
"Central Severe Weather (October 2006)","Severe Storm",20061002,20061005,1213.0,1
"Numerous Wildfires (2006)","Wildfire",20060101,20061231,2024.3,28
"California Freeze (January 2007)","Freeze",20070111,20070117,1890.0,1
"Spring Freeze (April 2007)","Freeze",20070404,20070410,2759.8,0
"East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3385.6,9
"Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,3700.8,12
"Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4776.9,15
"Western, Central and Northeast Severe Weather (January 2008)","Severe Storm",20080104,20080109,1276.6,12
"Southeast Tornadoes and Severe Weather (February 2008)","Severe Storm",20080205,20080206,1575.1,57
"Southeast Tornadoes (March 2008)","Severe Storm",20080314,20080315,1470.3,5
"Southern Severe Weather (April 2008)","Severe Storm",20080409,20080411,1351.5,2
"Midwest Tornadoes and Severe Weather (May 2008)","Severe Storm",20080522,20080527,3938.3,13
"Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,2126.8,18
"Midwest Flooding (Summer 2008)","Flooding",20080401,20080630,12946.0,24
"Hurricane Dolly (July 2008)","Tropical Cyclone",20080723,20080725,1647.4,3
"Hurricane Gustav (September 2008)","Tropical Cyclone",20080831,20080903,7796.1,53
"Hurricane Ike (September 2008)","Tropical Cyclone",20080912,20080914,38998.4,112
"U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1604.2,16
"U.S. Drought (2008)","Drought",20080101,20081231,9112.7,0
"Southeast/Ohio Valley Severe Weather (February 2009)","Severe Storm",20090210,20090211,2262.2,10
"Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2132.7,0
"South/Southeast Severe Weather and Tornadoes (April 2009)","Severe Storm",20090409,20090410,1859.2,6
"Central Tornadoes and Severe Weather (May 2009)","Severe Storm",20090507,20090509,1102.0,7
"Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1726.5,0
"Colorado Hail Storm (July 2009)","Severe Storm",20090720,20090720,1300.0,0
"Western Wildfires (Summer-Fall 2009)","Wildfire",20090601,20091130,1315.3,10
"Southwest/Great Plains Drought (2009)","Drought",20090101,20091231,4539.7,0
"Northeast Winter Storm (February 2010)","Winter Storm",20100209,20100211,1029.4,3
"Northeast Flooding (March 2010)","Flooding",20100301,20100331,2323.7,11
"East/South Flooding and Severe Weather (May 2010)","Flooding",20100430,20100502,2855.4,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)","Severe Storm",20100510,20100512,4200.6,3
"Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1135.2,2
"Midwest/Northeast Severe Storms and Flooding (July 2010)","Severe Storm",20100720,20100723,1194.9,0
"Arizona Severe Weather (October 2010)","Severe Storm",20101005,20101006,4788.0,0
"Groundhog Day Blizzard (February 2011)","Winter Storm",20110201,20110203,2224.8,36
"Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110404,20110405,3441.2,9
"Southeast/Midwest Tornadoes (April 2011)","Severe Storm",20110408,20110411,2702.3,0
"Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110414,20110416,2553.3,38
"Ohio Valley/South Tornadoes (April 2011)","Severe Storm",20110419,20110420,1286.8,0
"Southeast/Ohio Valley/Midwest Tornadoes (April 2011)","Severe Storm",20110425,20110428,12675.2,321
"Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,11279.9,177
"Mississippi River flooding (April-May 2011)","Flooding",20110401,20110531,3702.8,7
"Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,1906.1,3
"Missouri River flooding (May-June 2011)","Flooding",20110501,20110630,2482.7,5
"Rockies and Midwest Severe Weather (July 2011)","Severe Storm",20110710,20110714,1519.1,2
"Midwest/Southeast Severe Weather (August 2011)","Severe Storm",20110817,20110818,1427.9,0
"Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,16732.4,45
"Southern Plains/Southwest Drought and Heatwave (Spring-Summer 2011)","Drought",20110301,20110831,14836.3,95
"Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,3115.4,21
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2257.7,5
"Southeast/Ohio Valley Tornadoes (March 2012)","Severe Storm",20120302,20120303,3785.8,42
"Texas Tornadoes (April 2012)","Severe Storm",20120402,20120403,1228.5,0
"Midwest Tornadoes (April 2012)","Severe Storm",20120413,20120414,1359.5,6
"Midwest/Ohio Valley Severe Weather (April-May 2012)","Severe Storm",20120428,20120501,3964.4,1
"Southern Plains/Midwest/Northeast Severe Weather (May 2012)","Severe Storm",20120525,20120530,2787.6,1
"Rockies/Southwest Severe Weather (June 2012)","Severe Storm",20120606,20120612,3143.3,0
"Plains/East/Northeast Severe Weather (June-July 2012)","Severe Storm",20120629,20120702,3495.1,28
"Hurricane Isaac (August 2012)","Tropical Cyclone",20120826,20120831,3343.9,9
"Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,78697.7,159
"Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,2103.6,8
"U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,36304.4,123
"Southern Severe Weather (February 2013)","Severe Storm",20130224,20130225,1088.0,1
"Southeast Severe Weather (March 2013)","Severe Storm",20130318,20130318,2403.8,1
"Midwest/Plains Severe Weather (April 2013)","Severe Storm",20130407,20130411,1718.4,1
"Illinois Flooding and Severe Weather (April 2013)","Flooding",20130416,20130419,1281.7,4
"Midwest/Plains/East Tornadoes (May 2013)","Severe Storm",20130518,20130522,2856.3,27
"Midwest/Plains/Northeast Tornadoes (May 2013)","Severe Storm",20130527,20130531,2158.1,10
"Midwest Severe Weather (August 2013)","Severe Storm",20130806,20130807,1240.0,0
"Colorado Flooding (September 2013)","Flooding",20130910,20130916,1795.1,9
"Ohio Valley Tornadoes (November 2013)","Severe Storm",20131117,20131117,1297.8,8
"Western/Plains Drought/Heatwave (Spring-Fall 2013)","Drought",20130301,20131130,12407.1,53
"Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2542.1,16
"Plains Severe Weather (April 2014)","Severe Storm",20140402,20140403,1666.1,0
"Central Severe Weather (April 2014)","Severe Storm",20140412,20140413,1055.8,0
"Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,2031.2,33
"Rockies/Midwest/Eastern Severe Weather (May 2014)","Severe Storm",20140518,20140523,4344.5,0
"Rockies/Central Plains Severe Weather (June 2014)","Severe Storm",20140603,20140605,2245.5,2
"Michigan and Northeast Flooding (August 2014)","Flooding",20140811,20140813,1207.1,2
"Rockies/Plains Severe Weather (September 2014)","Severe Storm",20140929,20141002,1638.5,0
"Western Drought (2014)","Drought",20140101,20141231,4623.6,0
"Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3465.7,30
"Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1820.3,2
"South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1502.2,0
"South and Southeast Severe Weather (April 2015)","Severe Storm",20150424,20150425,1095.0,3
"Southern Plains Tornadoes (May 2015)","Severe Storm",20150506,20150510,1488.3,4
"Texas and Oklahoma Flooding and Severe Weather (May 2015)","Flooding",20150523,20150526,2925.5,31
"Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1371.1,1
