Ship To Country,Item ID,Amount
CAN,BB-ST-Peafowl-28,24.72
CAN,BB-ST-Peafowl-29,24.72
CAN,kg075,24.7
CAN,kg079,24.7
CAN,kg088,24.7
CAN,kg091,24.7
CAN,kg180,24.7
CAN,07634001,24.189999999999998
CAN,CO-WRF-Star5pt-5MM,24.15
CAN,KGM-116,23.95
CAN,KGM-168,23.95
CAN,1556271,23.65
CAN,BB-SB-225-Option225,23.17
CAN,ns77,23.17
CAN,NCSAGE,23.1
CAN,DHGOkeanos,23.0
CAN,MC511346,23.0
CAN,N-Bluedream,23.0
CAN,NS119,22.75
CAN,NS120,22.75
CAN,nsf28s,22.75
CAN,2MBLK,22.5
CAN,jc-3m2fd-ac-4.5,22.5
CAN,BR002050-0576-F-P001,22.48
CAN,LA0219,22.27
CAN,NSF105FF4OZ,22.22
CAN,ggt-ist5/16,22.0
CAN,ggt-rrep215,22.0
CAN,NSF55FF4OZ,21.7
CAN,nsf54s,21.7
CAN,nsf41s,21.0
CAN,nsf55L,21.0
CAN,855-008TB,20.9
CAN,rl-6221,20.72
CAN,NSF78FF4OZ,20.3
CAN,got4b,20.3
CAN,pcs415,20.13
CAN,GGT-HTM01,20.0
CAN,rod dircroic coated,20.0
CAN,854-201SK,19.95
CAN,KGSmini-032,19.95
CAN,2FG,19.68
CAN,NSF125FF4OZ,19.6
CAN,5214201922CLEAR,19.5
CAN,1556420,19.31
CAN,ns14,19.25
CAN,nsf126S,19.25
CAN,850-503e,18.75
CAN,FW723,18.56
CAN,3FY,18.369999999999997
CAN,1556283,18.15
CAN,nsf33s,17.5
CAN,1556263,17.25
CAN,nsf00F,17.15
CAN,BB-12-B-HurricaneStrike,17.1
CAN,3MB,17.06
CAN,SC62Kit,16.95
CAN,NSF00S16oz,16.8
CAN,1556287,16.5
CAN,NSF26FF4OZ,16.45
CAN,jc-1419b,16.25
CAN,NSF64FF4OZ,16.2
CAN,nsf63L,16.2
CAN,nsf64L,16.2
CAN,nsf64s,16.2
CAN,gosq2w,16.0
CAN,3MP,15.7
CAN,BB-ST-GSD,15.52
CAN,BB-ST-Pineberry,15.52
CAN,SFW01930SLV,15.5
CAN,nsf28L,15.4
CAN,BB-02-RS-WildHoney,15.0
CAN,DT220R,14.95
CAN,1556419,14.85
CAN,nsf84s,14.62
CAN,1556524,14.3
CAN,31231,14.1
CAN,tungsten pick 1/8,14.0
CAN,246889261,13.98
CAN,153941,13.95
CAN,gaf999525,13.8
CAN,NSF53FF4OZ,13.65
CAN,ABR Glass Cut,13.629999999999999
CAN,ns43,13.6
CAN,kg175,13.42
CAN,kg501,13.42
CAN,MC511402,13.2
CAN,MC511508,13.2
CAN,VF791992,13.2
CAN,VF791994,13.2
CAN,2FP,13.12
CAN,2MG,13.12
CAN,2MP,13.12
CAN,2MY,13.12
CAN,3FP,13.12
CAN,3MG,13.12
CAN,3MY,13.12
CAN,TriangleMandrel5/8,13.0
CAN,GG5000201,12.97
CAN,BB-ST-Oscar,12.92
CAN,NSF69FF4OZ,12.6
CAN,nsf79s,12.6
CAN,BB-SB-11-UV2,12.5
CAN,BB-SB-134-Option134,12.5
CAN,BB-SB-226-Option226,12.5
CAN,TriangleMandrel1/2,12.5
CAN,1556274,12.36
CAN,NSF101l,12.25
CAN,nsf127s,12.25
CAN,nsf26L,12.25
CAN,1556064,12.1
CAN,mc511492,12.1
CAN,GAF519225,12.08
CAN,153927,12.0
CAN,M196,12.0
CAN,M241,12.0
CAN,M276,12.0
CAN,M284,12.0
CAN,M293,12.0
CAN,M300,12.0
CAN,M32,12.0
CAN,M334,12.0
CAN,M361,12.0
CAN,M375,12.0
CAN,M417,12.0
CAN,M429,12.0
CAN,M469,12.0
CAN,M470,12.0
CAN,m86,12.0
CAN,nsf00L,11.9
CAN,BR002010-0576-F-P001,11.75
CAN,1556267GF,11.74
CAN,TE9110,11.7
CAN,la9002,11.49
CAN,la9004,11.49
CAN,DG-PMGCBP,11.48
CAN,nsf11s,11.37
CAN,nsf120S,11.37
CAN,nsf78s,11.37
CAN,TAG-033-R-1-054,11.34
CAN,3MJW,11.25
CAN,MC511022,11.21
CAN,MC511140-3,11.21
CAN,mc511722-02,11.21
CAN,mc511885,11.21
CAN,kuglclear-10,11.04
CAN,kuglclear-8,11.04
CAN,holecleanertipL,10.95
CAN,nsf09L,10.85
CAN,nsf14L,10.85
CAN,GG-R-WhiteSatin,10.8
CAN,NSF13FF4OZ,10.5
CAN,NSF41FF4OZ,10.5
CAN,NSF76FF4OZ,10.5
CAN,NSP125,10.5
CAN,nsf115S,10.5
CAN,nsf55s,10.5
CAN,nsf87s,10.5
CAN,nsp76,10.15
CAN,BB-SB-207-Option207,10.0
CAN,BB-SB-221-Option221,10.0
CAN,F306004,10.0
CAN,Flow-vol2-Issue3,10.0
CAN,854-209,9.95
CAN,button mandrel,9.95
CAN,nsf105s,9.62
CAN,nsf125S,9.62
CAN,GG-R-Wildberry,9.6
CAN,31230,9.4
CAN,GTGMt.HoneyFrit#2,9.38
CAN,1556348,9.35
CAN,DG-PMSBP,9.18
CAN,NSF01FF4OZ,8.4
CAN,nsf01L,8.4
CAN,GG4200105,8.08
CAN,FFB0522,7.95
CAN,FFB0532,7.95
CAN,sc615,7.95
CAN,153902,7.5
CAN,S348,7.5
CAN,S57,7.5
CAN,dvd108,7.5
CAN,1539025,7.25
CAN,mc511487,7.19
CAN,1556504,7.15
CAN,hp-0061,7.1
CAN,1556236,7.01
CAN,1556272,7.01
CAN,1556276,7.01
CAN,854-615,7.0
CAN,1556712,6.6
CAN,854-612,6.5
CAN,bd-bholdc,6.5
CAN,1556054,6.05
CAN,DG-D107s,6.05
CAN,DG-D49s,6.05
CAN,DG-D53s,6.05
CAN,854-610,6.0
CAN,S81,6.0
CAN,VF791069,5.91
CAN,3127,5.25
CAN,3128,5.25
CAN,VF791084,5.23
CAN,854-221,4.95
CAN,FF59046010,4.95
CAN,MC511547,4.89
CAN,AR12,4.88
CAN,GG7805006,4.65
CAN,1558436,4.6
CAN,3MBLK,4.5
CAN,S300,4.5
CAN,1558204,4.03
CAN,1558252,4.03
CAN,EFW01030BLU,3.79
CAN,EFW01030GRN,3.79
CAN,EFW01030PLM,3.79
CAN,EFW01030RED,3.79
CAN,1556216,3.67
CAN,1558004,3.45
CAN,1558064,3.45
CAN,2FB,2.62
CAN,S219,1.5
CAN,15021,0.0
CAN,1556683-d,0.0
CAN,DG-FMSBF,0.0
CAN,DG-PDDBP,0.0
CAN,EFW01030BLK,0.0
CAN,GG-R-RoseQuartzT,0.0
CAN,MM1,0.0
CAN,S104,0.0
CAN,S230,0.0
CAN,S256,0.0
CAN,S293,0.0
CAN,S320,0.0
CAN,VF791088,0.0
CAN,bunsen122,0.0
CAN,ds104pf1,0.0
CAN,ds104pf15,0.0
CAN,ds104pf16,0.0
CAN,mc511590,0.0
CAN,sublined item,-1256.6399999999999
CHINA,nunitorch12,3984.0
CHINA,BB-21-B-Synergy,1950.0
CHINA,BB-41-B-Sunset,684.0
CHINA,sublined item,542.0
CHINA,No Item ID,394.0
CHINA,sns65,296.1
CHINA,07630063,125.0
CHINA,ns154,19.2
CHINA,NSE-Lucid,16.8
CHINA,Handling and-or cod fee,0.47
CHINA,SNS126,0.0
CHINA,sns11,0.0
CHINA,sns44,0.0
CHINA,sns45,0.0
CHINA,sns53,0.0
CHINA,sns77,0.0
CHINA,sns79,0.0
CHINA,ons77,-26.599999999999994
CHL,TAG-033-R-1-054,81.0
CHL,TAG-033-R-1-060,58.5
CHL,TAG-033-R-1-003,45.0
CHL,ns63,32.18
CHL,No Item ID,28.41
CHL,NCPEACH,19.44
CHL,TAG-033-R-1-058,19.44
CHL,silver,18.4
CHL,854-220K-Latex,17.95
CHL,tungsten pick,15.95
CHL,ns53,14.04
CHL,TAG-033-R-1-038,12.1
CHL,MB102,8.69
CHL,TAG-033-R-1-026,8.64
CHL,ns62,8.64
CHL,GG-R-PurpleRainbow,8.4
CHL,855-007,8.0
CHL,dd3105,7.95
CHL,TAG-033-R-1-056,7.02
CHL,TAG-033-R-1-024,6.48
CHL,Handling and-or cod fee,5.64
CHL,854-618,4.5
